Sample	Up/Down	Total reads in sample	Matching reads
Klebsiella_patho_CFD	Downstream	1686	10
Klebsiella_soil_SUL	Downstream	2172	10
Ecoli_soil_MER	Downstream	1240	8
Ecoli_soil_GEP	Downstream	925	10
Klebsiella_gut_DOX	Downstream	2413	11
Klebsiella_soil_CFD	Downstream	1625	23
Klebsiella_gut_CEF	Downstream	4231	800
Ecoli_soil_FOX	Downstream	1564	26
Salmonella_gut_APS	Downstream	1313	19
Ecoli_soil_ERA	Downstream	725	9
Salmonella_patho_GEP	Downstream	1952	7
Ecoli_patho_OMA	Downstream	1474	11
Klebsiella_gut_FOX	Downstream	3721	312
Klebsiella_patho_SUL	Downstream	929	9
Klebsiella_soil_DEL	Downstream	2267	11
Klebsiella_gut_OMA	Downstream	2372	11
Ecoli_soil_APS	Downstream	2352	389
Klebsiella_soil_GEN	Downstream	3129	28
Klebsiella_patho_ERA	Downstream	2144	288
Klebsiella_soil_MER	Downstream	2532	13
Klebsiella_patho_DEL	Downstream	1631	19
Shigella_gut_APS	Downstream	1324	38
Klebsiella_soil_OMA	Downstream	1838	4
Salmonella_gut_GEP	Downstream	1779	19
Salmonella_soil_DEL	Downstream	2054	16
Klebsiella_soil_FOX	Downstream	4623	804
Ecoli_soil_CFD	Downstream	982	20
Klebsiella_gut_MOX	Downstream	1370	75
Klebsiella_patho_GEN	Downstream	1367	13
Salmonella_gut_DEL	Downstream	1898	15
Salmonella_gut_CFD	Downstream	1545	5
Klebsiella_soil_DOX	Downstream	3485	14
Klebsiella_soil_CEF	Downstream	3603	3
Klebsiella_patho_CEF	Downstream	1594	9
Shigella_patho_OMA	Downstream	1658	3
Ecoli_soil_PXB	Downstream	3001	891
Ecoli_soil_SUL	Downstream	3188	504
Klebsiella_gut_SUL	Downstream	2543	20
Salmonella_patho_DEL	Downstream	1836	16
Salmonella_soil_APS	Downstream	1787	30
Shigella_soil_OMA	Downstream	1616	257
Salmonella_patho_CFD	Downstream	2078	12
Salmonella_patho_CEF	Downstream	3127	288
Salmonella_gut_FOX	Downstream	1052	3
Klebsiella_soil_GEP	Downstream	2223	7
Klebsiella_soil_ERA	Downstream	3729	409
Shigella_soil_CFD	Downstream	4177	969
Salmonella_soil_GEP	Downstream	2241	29
Shigella_soil_DEL	Downstream	1862	25
Klebsiella_gut_GEP	Downstream	1104	17
Klebsiella_soil_APS	Downstream	1851	96
Salmonella_soil_CFD	Downstream	2104	10
Shigella_gut_CEF	Downstream	2467	246
Salmonella_patho_MOX	Downstream	1087	2
Salmonella_gut_DOX	Downstream	1452	11
Salmonella_gut_MOX	Downstream	1521	8
Shigella_gut_ERA	Downstream	1292	8
Shigella_soil_SUL	Downstream	1991	12
Shigella_gut_SUL	Downstream	1654	18
Shigella_soil_APS	Downstream	1113	10
Salmonella_gut_ERA	Downstream	2969	449
Klebsiella_patho_MER	Downstream	2818	11
Salmonella_soil_FOX	Downstream	1103	4
Shigella_soil_CEF	Downstream	1698	12
Klebsiella_patho_OMA	Downstream	1087	3
Shigella_patho_GEP	Downstream	1886	12
Salmonella_soil_MOX	Downstream	1569	6
Salmonella_patho_SUL	Downstream	1620	11
Klebsiella_patho_GEP	Downstream	1604	13
Klebsiella_soil_MOX	Downstream	1709	106
Salmonella_gut_GEN	Downstream	1509	16
Shigella_gut_MER	Downstream	2155	32
Salmonella_patho_GEN	Downstream	1353	7
Shigella_patho_DEL	Downstream	1888	23
Salmonella_gut_CEF	Downstream	2732	283
Salmonella_patho_MER	Downstream	1013	10
Klebsiella_patho_MOX	Downstream	1396	60
Salmonella_gut_OMA	Downstream	1979	23
Salmonella_patho_ERA	Downstream	1136	16
Shigella_patho_CFD	Downstream	1742	8
Salmonella_soil_DOX	Downstream	1737	21
Shigella_soil_GEN	Downstream	2554	25
Shigella_patho_MER	Downstream	1319	5
Shigella_patho_DOX	Downstream	1666	6
Shigella_gut_DOX	Downstream	2769	22
Salmonella_patho_DOX	Downstream	2104	15
Salmonella_soil_CEF	Downstream	2853	492
Shigella_patho_GEN	Downstream	1630	97
Shigella_patho_FOX	Downstream	2174	17
Shigella_patho_CEF	Downstream	2409	17
Shigella_soil_MER	Downstream	2703	28
Shigella_soil_GEP	Downstream	1315	16
Shigella_patho_ERA	Downstream	3419	227
Salmonella_patho_OMA	Downstream	2636	375
Shigella_patho_SUL	Downstream	1353	14
Salmonella_patho_FOX	Downstream	1296	80
Salmonella_soil_ERA	Downstream	3632	476
Salmonella_patho_APS	Downstream	1352	85
Salmonella_soil_OMA	Downstream	2764	17
Salmonella_soil_GEN	Downstream	1737	13
Shigella_soil_FOX	Downstream	5335	21
Shigella_patho_MOX	Downstream	3344	180
Shigella_soil_ERA	Downstream	3799	620
Shigella_gut_CFD	Downstream	4525	614
