"Card.Res.Gene.Annotations"	"mechanism"	"classification"
"CMY-39"	"antibiotic inactivation"	"CMY beta-lactamase"
"cphA7"	"antibiotic inactivation"	"CphA beta-lactamase"
"CrcB"	"antibiotic efflux"	"multidrug and toxic compound extrusion (MATE) transporter"
"CRP"	"antibiotic efflux"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"
"CTX-M-121"	"antibiotic inactivation"	"CTX-M beta-lactamase"
"CTX-M-130"	"antibiotic inactivation"	"CTX-M beta-lactamase"
"CTX-M-14"	"antibiotic inactivation"	"CTX-M beta-lactamase"
"CTX-M-27"	"antibiotic inactivation"	"CTX-M beta-lactamase"
"determinant of bleomycin resistance"	"antibiotic inactivation"	"Bleomycin resistant protein"
"dfrA29_1_AM237806 "	"nan"	"nan"
"dfrB1"	"antibiotic target replacement"	"trimethoprim resistant dihydrofolate reductase dfr"
"DHA-15"	"antibiotic inactivation"	"DHA beta-lactamase"
"DHA-7"	"antibiotic inactivation"	"DHA beta-lactamase"
"emeA"	"antibiotic efflux"	"multidrug and toxic compound extrusion (MATE) transporter"
"emrK"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"Enterococcus faecium chloramphenicol acetyltransferase"	"antibiotic inactivation"	"chloramphenicol acetyltransferase (CAT)"
"eptA"	"antibiotic target alteration"	"pmr phosphoethanolamine transferase"
"Erm(48)"	"antibiotic target alteration"	"Erm 23S ribosomal RNA methyltransferase"
"erm(V)_1_U59450"	"Target modification"	"23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, patterns of spiramycin, lincomycin and clindamycin resistance may vary"
"evgS"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump"
"farA"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"farB"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"FEZ-1 beta-lactamase"	"antibiotic inactivation"	"FEZ beta-lactamase"
"fomB_1_AB016934"	"Enzymatic inactivation"	"nan"
"fosA_2_AGDM01000012"	"Enzymatic inactivation"	"nan"
"FOX-3"	"antibiotic inactivation"	"FOX beta-lactamase"
"GIM-1"	"antibiotic inactivation"	"GIM beta-lactamase"
"gimA"	"antibiotic inactivation"	"gimA family macrolide glycosyltransferase"
"hmrM"	"antibiotic efflux"	"multidrug and toxic compound extrusion (MATE) transporter"
"hp1181"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"ICR-Mc"	"antibiotic target alteration"	"intrinsic colistin resistant phosphoethanolamine transferase"
"kgmB_1_S60108"	"Target protection"	"Chromosomal in Streptomyces tenebrarius"
"KHM-1 beta-lactamase"	"antibiotic inactivation"	"KHM beta-lactamase"
"kmr_1_ENA_ACB88605"	"Target protection"	"Chromosomal in Sorangium cellulosum"
"LlmA 23S ribosomal RNA methyltransferase"	"antibiotic target alteration"	"Llm 23S ribosomal RNA methyltransferase"
"LMB-1"	"antibiotic inactivation"	"LMB beta-lactamase"
"LpsA"	"reduced permeability to antibiotic"	"Intrinsic peptide antibiotic resistant Lps"
"LptD"	"antibiotic efflux"	"ATP-binding cassette (ABC) antibiotic efflux pump"
"LRA-12"	"antibiotic inactivation"	"subclass B3 LRA beta-lactamase"
"LRA-13"	"antibiotic inactivation"	"class C LRA beta-lactamase;class D LRA beta-lactamase"
"LRA-2"	"antibiotic inactivation"	"subclass B3 LRA beta-lactamase"
"lsa(E)_1_JX560992"	"Target protection"	"ABC transporter"
"lsaC"	"antibiotic target protection"	"ABC-F ATP-binding cassette ribosomal protection protein"
"lsaE"	"antibiotic target protection"	"ABC-F ATP-binding cassette ribosomal protection protein"
"macA"	"antibiotic efflux"	"ATP-binding cassette (ABC) antibiotic efflux pump"
"macB"	"antibiotic efflux"	"ATP-binding cassette (ABC) antibiotic efflux pump"
"marA"	"antibiotic efflux;reduced permeability to antibiotic"	"General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump"
"MCR-3.2"	"antibiotic target alteration"	"MCR phosphoethanolamine transferase"
"mdf(A)_1_Y08743"	"Increased efflux"	"Mdf(A) has broad spectrum specificity including Erythromycin, Tetracycline, Rifampicin, Kanamycin, Chloramphenicol and Ciprofloxacin but it is unclear which level of resistance it confers"
"mdsA"	"antibiotic efflux"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"
"mdtF"	"antibiotic efflux"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"
"mdtG"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"mdtH"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"mdtK"	"antibiotic efflux"	"multidrug and toxic compound extrusion (MATE) transporter"
"mdtM"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"mecC2_1_KF955540"	"Target modification"	"nan"
"mecR1"	"antibiotic target replacement"	"methicillin resistant PBP2"
"mef(A)_2_U83667"	"Increased efflux"	"Alternative name mef(I)"
"mefB"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"mefC"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"mepA"	"antibiotic efflux"	"multidrug and toxic compound extrusion (MATE) transporter"
"mepR"	"antibiotic efflux"	"multidrug and toxic compound extrusion (MATE) transporter"
"MexB"	"antibiotic efflux"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"
"mexQ"	"antibiotic efflux"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"
"mexV"	"antibiotic efflux"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"
"mexX"	"antibiotic efflux"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"
"mfpA"	"antibiotic target protection"	"quinolone resistance protein (qnr)"
"MIR-9"	"antibiotic inactivation"	"MIR beta-lactamase"
"mph(A)_2_U36578"	"Enzymatic inactivation "	"Macrolide phosphotransferase; Alternative name mph(K)"
"mph(C)_2_AF167161"	"Enzymatic inactivation "	"Macrolide phosphotransferase; Alternative name mph(BM); Not functional in S. aureus"
"msrF"	"antibiotic target protection"	"ABC-F ATP-binding cassette ribosomal protection protein"
"mtrA"	"antibiotic efflux"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"
"MUS-2 beta-lactamase"	"antibiotic inactivation"	"MUS beta-lactamase"
"MuxB"	"antibiotic efflux"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"
"NDM-1"	"antibiotic inactivation"	"NDM beta-lactamase"
"NDM-23"	"antibiotic inactivation"	"NDM beta-lactamase"
"NDM-24"	"antibiotic inactivation"	"NDM beta-lactamase"
"NDM-5"	"antibiotic inactivation"	"NDM beta-lactamase"
"NDM-6"	"antibiotic inactivation"	"NDM beta-lactamase"
"NDM-9"	"antibiotic inactivation"	"NDM beta-lactamase"
"nimE_1_AJ244018"	"nan"	"likely also resistance to tinidazole, nimorazole, dimetridazole, 6-Amino PA824, ornidazole, megazol, azanidazole"
"nimH_1_KX576455"	"nan"	"Manually predicted - likely also resistance to tinidazole, nimorazole, dimetridazole, 6-Amino PA824, ornidazole, megazol, azanidazole"
"NmcR"	"antibiotic inactivation"	"NmcA beta-lactamase"
"norB"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"OpmH"	"antibiotic efflux"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"
"OprJ"	"antibiotic efflux"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"
"OXA-157"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-178"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-198"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-2"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-205"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-209"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-21"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-257"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-299"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-361"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-444"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-464"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-485"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-486"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-49"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-53"	"antibiotic inactivation"	"OXA beta-lactamase"
"OXA-62"	"antibiotic inactivation"	"OXA beta-lactamase"
"ParS"	"antibiotic efflux;reduced permeability to antibiotic"	"Outer Membrane Porin (Opr);resistance-nodulation-cell division (RND) antibiotic efflux pump"
"PDC-1"	"antibiotic inactivation"	"PDC beta-lactamase"
"PDC-76"	"antibiotic inactivation"	"PDC beta-lactamase"
"PDC-8"	"antibiotic inactivation"	"PDC beta-lactamase"
"penA_1_AF515059"	"Enzymatic inactivation"	"Chromosomal pbp-gene"
"PmpM"	"antibiotic efflux"	"multidrug and toxic compound extrusion (MATE) transporter"
"pmrF"	"antibiotic target alteration"	"pmr phosphoethanolamine transferase"
"POM-1_1_GU002295"	"Enzymatic inactivation"	"Chromosomal metallo beta-lactamase"
"Pseudomonas aeruginosa CpxR"	"antibiotic efflux"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"
"qacE"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"qacH"	"antibiotic efflux"	"small multidrug resistance (SMR) antibiotic efflux pump"
"QnrA1"	"antibiotic target protection"	"quinolone resistance protein (qnr)"
"QnrA2"	"antibiotic target protection"	"quinolone resistance protein (qnr)"
"QnrA5"	"antibiotic target protection"	"quinolone resistance protein (qnr)"
"qnrA8_1_KY554783"	"Target protection"	"Likely ciprofloxacin resistance"
"QnrB33"	"antibiotic target protection"	"quinolone resistance protein (qnr)"
"QnrB46"	"antibiotic target protection"	"quinolone resistance protein (qnr)"
"QnrB73"	"antibiotic target protection"	"quinolone resistance protein (qnr)"
"QnrS3"	"antibiotic target protection"	"quinolone resistance protein (qnr)"
"ramA"	"antibiotic efflux;reduced permeability to antibiotic"	"General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump"
"RlmA(II)"	"antibiotic target alteration"	"non-erm 23S ribosomal RNA methyltransferase (G748)"
"Rm3 beta-lactamase"	"antibiotic inactivation"	"Rm3 family beta-lactamase"
"rmtD2"	"antibiotic target alteration"	"16S rRNA methyltransferase (G1405)"
"rmtF"	"antibiotic target alteration"	"16S rRNA methyltransferase (G1405)"
"rosB"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"rphA"	"antibiotic inactivation"	"rifampin phosphotransferase"
"RSA-2"	"antibiotic inactivation"	"RSA beta-lactamase"
"SatA"	"antibiotic inactivation"	"streptothricin acetyltransferase (SAT)"
"sdiA"	"antibiotic efflux"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"
"SHV-12"	"antibiotic inactivation"	"SHV beta-lactamase"
"SHV-50"	"antibiotic inactivation"	"SHV beta-lactamase"
"SHV-52"	"antibiotic inactivation"	"SHV beta-lactamase"
"smeS"	"antibiotic efflux"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"
"SPG-1"	"antibiotic inactivation"	"SPG beta-lactamase"
"sta"	"antibiotic inactivation"	"streptothricin acetyltransferase (SAT)"
"sul1_11_DQ914960"	"nan"	"nan"
"sul1_7_FJ715937"	"nan"	"nan"
"TaeA"	"antibiotic efflux"	"ATP-binding cassette (ABC) antibiotic efflux pump"
"TEM-123"	"antibiotic inactivation"	"TEM beta-lactamase"
"TEM-128"	"antibiotic inactivation"	"TEM beta-lactamase"
"TEM-196"	"antibiotic inactivation"	"TEM beta-lactamase"
"tet(33)_2_DQ390458"	"Increased efflux"	"nan"
"tet(34)_1_AB061440"	"Enzymatic inactivation"	"nan"
"tet(35)"	"antibiotic efflux"	"ATP-binding cassette (ABC) antibiotic efflux pump"
"tet(40)_1_FJ158002"	"Increased efflux"	"nan"
"tet(41)"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"tet(44)_1_NZ_ABDU01000081"	"Target protection"	"nan"
"tet(54)"	"antibiotic inactivation"	"tetracycline inactivation enzyme"
