Card.Res.Gene.Annotations	Universal.Gene.Name	Gene.AMR.Family	Gene.Further.Classification	Gene.Mechanism	mechanism	classification
OXA-21	OXA-21	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
OXA-257	OXA-257	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
OXA-299	OXA-299	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
OXA-361	OXA-361	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
OXA-444	OXA-444	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
OXA-464	OXA-464	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
OXA-485	OXA-485	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
OXA-486	OXA-486	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
OXA-49	OXA-49	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
OXA-53	OXA-53	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
OXA-62	OXA-62	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
ParS	ParS	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	antibiotic efflux	"antibiotic efflux;reduced permeability to antibiotic"	"Outer Membrane Porin (Opr);resistance-nodulation-cell division (RND) antibiotic efflux pump"
PDC-1	PDC-1	PDC beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	PDC beta-lactamase
PDC-76	PDC-76	PDC beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	PDC beta-lactamase
PDC-8	PDC-8	PDC beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	PDC beta-lactamase
penA_1_AF515059	penA	penicillin-binding protein 2	Beta-lactamase	antibiotic inactivation	Enzymatic inactivation	Chromosomal pbp-gene
PmpM	PmpM	multidrug and toxic compound extrusion (MATE) transporter	MATE transporter	antibiotic efflux	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter
pmrF	pmrF	pmr phosphoethanolamine transferase	pmr phosphoethanolamine transferase	antibiotic target alteration	antibiotic target alteration	pmr phosphoethanolamine transferase
POM-1_1_GU002295	POM-1	Metallo beta-lactamase	Beta-lactamase	antibiotic inactivation	Enzymatic inactivation	Chromosomal metallo beta-lactamase
Pseudomonas aeruginosa CpxR	CpxR	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	regulator of efflux pumps	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
qacE	qacE	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
qacH	qacH	small multidrug resistance (SMR) antibiotic efflux pump	SMR efflux pump	antibiotic efflux	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump
QnrA1	QnrA1	quinolone resistance protein (qnr)	qnr	antibiotic target protection	antibiotic target protection	quinolone resistance protein (qnr)
QnrA2	QnrA2	quinolone resistance protein (qnr)	qnr	antibiotic target protection	antibiotic target protection	quinolone resistance protein (qnr)
QnrA5	QnrA5	quinolone resistance protein (qnr)	qnr	antibiotic target protection	antibiotic target protection	quinolone resistance protein (qnr)
qnrA8_1_KY554783	QnrA8	quinolone resistance protein (qnr)	qnr	antibiotic target protection	Target protection	Likely ciprofloxacin resistance
QnrB33	QnrB33	quinolone resistance protein (qnr)	qnr	antibiotic target protection	antibiotic target protection	quinolone resistance protein (qnr)
QnrB46	QnrB46	quinolone resistance protein (qnr)	qnr	antibiotic target protection	antibiotic target protection	quinolone resistance protein (qnr)
QnrB73	QnrB73	quinolone resistance protein (qnr)	qnr	antibiotic target protection	antibiotic target protection	quinolone resistance protein (qnr)
QnrS3	QnrS3	quinolone resistance protein (qnr)	qnr	antibiotic target protection	antibiotic target protection	quinolone resistance protein (qnr)
ramA	ramA	"General Bacterial Porin with reduced permeability to beta-lactams; resistance-nodulation-cell division (RND) antibiotic efflux pump"	"General Bacterial Porin; RND efflux pump"	regulator of efflux pumps	"antibiotic efflux;reduced permeability to antibiotic"	"General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump"
RlmA(II)	RlmA(II)	non-erm 23S ribosomal RNA methyltransferase	non-erm 23S ribosomal RNA methyltransferase	antibiotic target alteration	antibiotic target alteration	non-erm 23S ribosomal RNA methyltransferase (G748)
Rm3 beta-lactamase	Rm3	Rm3 family beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	Rm3 family beta-lactamase
rmtD2	rmtD2	16S rRNA methyltransferase	16S rRNA methyltransferase	antibiotic target alteration	antibiotic target alteration	16S rRNA methyltransferase (G1405)
rmtF	rmtF	16S rRNA methyltransferase	16S rRNA methyltransferase	antibiotic target alteration	antibiotic target alteration	16S rRNA methyltransferase (G1405)
rosB	rosB	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
rphA	rphA	rifampin phosphotransferase	rifampin phosphotransferase	antibiotic inactivation	antibiotic inactivation	rifampin phosphotransferase
RSA-2	RSA-2	RSA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	RSA beta-lactamase
SatA	SatA	streptothricin acetyltransferase (SAT)	SAT	antibiotic inactivation	antibiotic inactivation	streptothricin acetyltransferase (SAT)
sdiA	sdiA	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	regulator of efflux pumps	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
SHV-12	SHV-12	SHV beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	SHV beta-lactamase
SHV-50	SHV-50	SHV beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	SHV beta-lactamase
SHV-52	SHV-52	SHV beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	SHV beta-lactamase
smeS	smeS	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	antibiotic efflux	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
SPG-1	SPG-1	SPG beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	SPG beta-lactamase
sta	sta	streptothricin acetyltransferase (SAT)	SAT	antibiotic inactivation	antibiotic inactivation	streptothricin acetyltransferase (SAT)
sul1_11_DQ914960	sul1	sulfonamide resistant sul	sulfonamide resistant sul	antibiotic target replacement	nan	nan
sul1_7_FJ715937	sul1	sulfonamide resistant sul	sulfonamide resistant sul	antibiotic target replacement	nan	nan
TaeA	TaeA	ATP-binding cassette (ABC) antibiotic efflux pump	ABC efflux pump	antibiotic efflux	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
TEM-123	TEM-123	TEM beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	TEM beta-lactamase
TEM-128	TEM-128	TEM beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	TEM beta-lactamase
TEM-196	TEM-196	TEM beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	TEM beta-lactamase
tet(33)_2_DQ390458	tet(33)	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	Increased efflux	nan
tet(34)_1_AB061440	tet(34)	tetracycline inactivation enzyme	tetracycline inactivation enzyme	antibiotic inactivation	Enzymatic inactivation	nan
tet(35)	tet(35)	ATP-binding cassette (ABC) antibiotic efflux pump	ABC efflux pump	antibiotic efflux	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
tet(40)_1_FJ158002	tet(40)	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	Increased efflux	nan
tet(41)	tet(41)	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
tet(44)_1_NZ_ABDU01000081	tet(44)	tetracycline-resistant ribosomal protection protein	tetracycline-resistant ribosomal protection protein	antibiotitc target protection	Target protection	nan
tet(54)	tet(54)	tetracycline inactivation enzyme	tetracycline inactivation enzyme	antibiotic inactivation	antibiotic inactivation	tetracycline inactivation enzyme
tet(A)	tet(A)	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
tet(A)_2_X00006	tet(A)	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	Increased efflux	nan
tet(A)_3_AY196695	tet(A)	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	Increased efflux	nan
tet(C)_3_AF055345	tet(C)	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	Increased efflux	nan
tet(J)	tet(J)	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
tet(J)_1_ACLE01000065	tet(J)	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	Increased efflux	nan
tet(M)_4_X75073	tet(M)	tetracycline-resistant ribosomal protection protein	tetracycline-resistant ribosomal protection protein	antibiotic target protection	Target protection	nan
tet(O/32/O)_2_AJ295238	tet(O/32/O)	tetracycline-resistant ribosomal protection protein	tetracycline-resistant ribosomal protection protein	antibiotic target protection	Target protection	nan
tet(O/W)_1_AM889118	tet(O/W)	tetracycline-resistant ribosomal protection protein	tetracycline-resistant ribosomal protection protein	antibiotic target protection	Target protection	nan
tet(Q)_2_X58717	tet(Q)	tetracycline-resistant ribosomal protection protein	tetracycline-resistant ribosomal protection protein	antibiotic target protection	Target protection	nan
tet(T)_2_AY660530	tet(T)	tetracycline-resistant ribosomal protection protein	tetracycline-resistant ribosomal protection protein	antibiotic target protection	Target protection	nan
tet(W)_2_AY049983	tet(W)	tetracycline-resistant ribosomal protection protein	tetracycline-resistant ribosomal protection protein	antibiotic target protection	Target protection	nan
tet(W/32/O)_1_AM710601	tet(W/32/O)	tetracycline-resistant ribosomal protection protein	tetracycline-resistant ribosomal protection protein	antibiotic target protection	Target protection	nan
tet(W/N/W)	tet(W/N/W)	tetracycline-resistant ribosomal protection protein	tetracycline-resistant ribosomal protection protein	antibiotic target protection	antibiotic target protection	tetracycline-resistant ribosomal protection protein
tet(X)_1_GU014535	tet(X)	tetracycline inactivation enzyme	tetracycline inactivation enzyme	antibiotic inactivation	Enzymatic inactivation	nan
Tet(X5)	tet(X5)	tetracycline inactivation enzyme	tetracycline inactivation enzyme	antibiotic inactivation	antibiotic inactivation	tetracycline inactivation enzyme
tet37	tet(37)	tetracycline inactivation enzyme	tetracycline inactivation enzyme	antibiotic inactivation	antibiotic inactivation	tetracycline inactivation enzyme
tetA(46)	tetA(46)	ATP-binding cassette (ABC) antibiotic efflux pump	ABC efflux pump	antibiotic efflux	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
tetA(60)	tetA(60)	ATP-binding cassette (ABC) antibiotic efflux pump	ABC efflux pump	antibiotic efflux	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
tetB(46)	tetB(46)	ATP-binding cassette (ABC) antibiotic efflux pump	ABC efflux pump	antibiotic efflux	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
tetW	tet(W)	tetracycline-resistant ribosomal protection protein	tetracycline-resistant ribosomal protection protein	antibiotic target protection	antibiotic target protection	tetracycline-resistant ribosomal protection protein
tetX	tet(X)	tetracycline inactivation enzyme	tetracycline inactivation enzyme	antibiotic inactivation	antibiotic inactivation	tetracycline inactivation enzyme
TLA-1	TLA-1	TLA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	TLA beta-lactamase
TLA-2	TLA-2	TLA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	TLA beta-lactamase
tolC	tolC	"resistance-nodulation-cell division (RND) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; ATP-binding cassette (ABC) antibiotic efflux pump"	"RND; MFS; ABC efflux pump"	antibiotic efflux	antibiotic efflux	"ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump"
tsnR	tsnR	non-erm 23S ribosomal RNA methyltransferase	non-erm 23S ribosomal RNA methyltransferase	antibiotic target alteration	antibiotic target alteration	non-erm 23S ribosomal RNA methyltransferase (A1067)
TUS-1 beta-lactamase	TUS-1	TUS beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	TUS beta-lactamase
Txr	Txr	ATP-binding cassette (ABC) antibiotic efflux pump	ABC efflux pump	regulator of efflux pumps	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
ugd	ugd	pmr phosphoethanolamine transferase	pmr phosphoethanolamine transferase	antibiotic target alteration	antibiotic target alteration	pmr phosphoethanolamine transferase
vanA	vanA	"glycopeptide resistance gene cluster;van ligase"	glycopeptide resistance gene cluster	antibiotic target alteration	antibiotic target alteration	"glycopeptide resistance gene cluster;van ligase"
VanC2XY_3_EU151757	vanC2XY	"glycopeptide resistance gene cluster;van ligase"	glycopeptide resistance gene cluster	antibiotic target alteration	Target modification	nan
VanC4XY_1_EU151752	vanC4XY	"glycopeptide resistance gene cluster;van ligase"	glycopeptide resistance gene cluster	antibiotic target alteration	Target modification	nan
vanD	vanD	"glycopeptide resistance gene cluster;van ligase"	glycopeptide resistance gene cluster	antibiotic target alteration	antibiotic target alteration	"glycopeptide resistance gene cluster;van ligase"
vanE	vanE	"glycopeptide resistance gene cluster;van ligase"	glycopeptide resistance gene cluster	antibiotic target alteration	antibiotic target alteration	"glycopeptide resistance gene cluster;van ligase"
vanHB	vanHB	"glycopeptide resistance gene cluster;vanH"	glycopeptide resistance gene cluster	antibiotic target alteration	antibiotic target alteration	"glycopeptide resistance gene cluster;vanH"
VanHBX_1_AF192329	vanHBX	"glycopeptide resistance gene cluster;vanH"	glycopeptide resistance gene cluster	antibiotic target alteration	Target modification	nan
vanHD	vanHD	"glycopeptide resistance gene cluster;vanH"	glycopeptide resistance gene cluster	antibiotic target alteration	antibiotic target alteration	"glycopeptide resistance gene cluster;vanH"
VanHDX_5_AY489045	vanHDX	"glycopeptide resistance gene cluster;vanH"	glycopeptide resistance gene cluster	antibiotic target alteration	Target modification	nan
VanHDX_6_DQ172830	vanHDX	"glycopeptide resistance gene cluster;vanH"	glycopeptide resistance gene cluster	antibiotic target alteration	Target modification	nan
VanHOX_1_KF478993	vanHOX	"glycopeptide resistance gene cluster;vanH"	glycopeptide resistance gene cluster	antibiotic target alteration	Target modification	nan
vanJ	vanJ	vanJ membrane protein	vanJ membrane protein	antibiotic target alteration	antibiotic target alteration	vanJ membrane protein
vanKI	vanKI	"glycopeptide resistance gene cluster;vanK"	glycopeptide resistance gene cluster	antibiotic target alteration	antibiotic target alteration	"glycopeptide resistance gene cluster;vanK"
vanRC	vanRC	"glycopeptide resistance gene cluster;vanR"	glycopeptide resistance gene cluster	antibiotic target alteration	antibiotic target alteration	"glycopeptide resistance gene cluster;vanR"
vanRF	vanRF	"glycopeptide resistance gene cluster;vanR"	glycopeptide resistance gene cluster	antibiotic target alteration	antibiotic target alteration	"glycopeptide resistance gene cluster;vanR"
vanSC	vanSC	"glycopeptide resistance gene cluster;vanS"	glycopeptide resistance gene cluster	antibiotic target alteration	antibiotic target alteration	"glycopeptide resistance gene cluster;vanS"
vanSO	vanSO	"glycopeptide resistance gene cluster;vanS"	glycopeptide resistance gene cluster	antibiotic target alteration	antibiotic target alteration	"glycopeptide resistance gene cluster;vanS"
vanTE	vanTE	"glycopeptide resistance gene cluster;vanT"	glycopeptide resistance gene cluster	antibiotic target alteration	antibiotic target alteration	"glycopeptide resistance gene cluster;vanT"
vanXO	vanXO	"glycopeptide resistance gene cluster;vanX"	glycopeptide resistance gene cluster	antibiotic target alteration	antibiotic target alteration	"glycopeptide resistance gene cluster;vanX"
vatA	vatA	streptogramin vat acetyltransferase	streptogramin vat acetyltransferase	antibiotic inactivation	antibiotic inactivation	streptogramin vat acetyltransferase
vatD	vatD	streptogramin vat acetyltransferase	streptogramin vat acetyltransferase	antibiotic inactivation	antibiotic inactivation	streptogramin vat acetyltransferase
vgaC	vgaC	ABC-F ATP-binding cassette ribosomal protection protein	ABC-F ATPase ribosomal protection protein	antibiotic target protection	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
VIM-1	VIM-1	VIM beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	VIM beta-lactamase
VIM-24	VIM-24	VIM beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	VIM beta-lactamase
vmlR	vmlR	ABC-F ATP-binding cassette ribosomal protection protein	ABC-F ATPase ribosomal protection protein	antibiotic target protection	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
NA	NA	NA	NA	NA		
