Card.Res.Gene.Annotations	Universal.Gene.Name	Gene.AMR.Family	Gene.Further.Classification	Gene.Mechanism	mechanism	classification
APH(9)-Ib	APH(9)-Ib	APH(9)	Aminoglycoside phosphotransferase	antibiotic inactivation	antibiotic inactivation	APH(9)
aphA15	aphA15	APH(3')	Aminoglycoside phosphotransferase	antibiotic inactivation	antibiotic inactivation	APH(3')
ARL-1	ARL-1	ARL Beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	ARL Beta-lactamase
arlS	arlS	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
arnA	arnA	pmr phosphoethanolamine transferase	pmr phosphoethanolamine transferase	antibiotic target alteration	antibiotic target alteration	pmr phosphoethanolamine transferase
bacA	bacA	undecaprenyl pyrophosphate related proteins	undecaprenyl pyrophosphate related proteins	antibiotic target alteration	antibiotic target alteration	undecaprenyl pyrophosphate related proteins
baeS	baeS	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	regulator of efflux pumps	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BahA	BahA	Bah amidohydrolase	Bah amidohydrolase	antibiotic inactivation	antibiotic inactivation	Bah amidohydrolase
basS	basS	pmr phosphoethanolamine transferase	pmr phosphoethanolamine transferase	antibiotic target alteration	"antibiotic efflux;antibiotic target alteration"	pmr phosphoethanolamine transferase
BAT-1	BAT-1	BAT Beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	BAT Beta-lactamase
bcr-1	bcr-1	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BES-1	BES-1	BES Beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	BES Beta-lactamase
Bifidobacterium adolescentis rpoB conferring resistance to rifampicin	rpoB	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	antibiotic target alteration	"antibiotic target alteration;antibiotic target replacement"	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
BKC-1	BKC-1	BKC Beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	BKC Beta-lactamase
blaCTX-M-200_1_KY997188	CTX-M-200	CTX-M beta-lactamase	Beta-lactamase	antibiotic inactivation	Enzymatic inactivation	Class A
blaL_1_NG050597	blaL	class A beta-lactamase	Beta-lactamase	antibiotic inactivation	Enzymatic inactivation	class A beta-lactamase
blaOXA-21_1_AB626885	OXA-21	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	Enzymatic inactivation	"Class D;OXA-2-like;;;"
blaOXA-395_1_AY306133	OXA-395	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	Enzymatic inactivation	"Class D;OXA-50-like;Natural in Pseudomonas aeruginosa;;The enzyme has weak activity and confers decreased susceptibility but not resistance to the antimicrobials listed. Phenotype expressed in Pseudomonas aeruginosa but not in Escherichia coli."
blaOXA-493_1_CP007774	OXA-493	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	Enzymatic inactivation	Chromosomal
blaSHV-12_1_KF976405	SHV-12	SHV beta-lactamase	Beta-lactamase	antibiotic inactivation	Enzymatic inactivation	Class A
blaZ_45_CP010941	blaZ	class A beta-lactamase	Beta-lactamase	antibiotic inactivation	Enzymatic inactivation	Class A
bmr	bmr	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BPU-1	BPU-1	BPU Beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	BPU Beta-lactamase
Brucella suis mprF	mprF	defensin resistant mprF	defensin resistant mprF	antibiotic target alteration	antibiotic target alteration	defensin resistant mprF
