ID	CARD|ARO Accession	CARD|CVTERM ID	CARD|Model Sequence ID	CARD|Model ID	CARD|Model Name	CARD|ARO Name	CARD|Protein Accession	CARD|DNA Accession	CARD|AMR Gene Family	CARD|Drug Class	CARD|Resistance Mechanism	RES|Gene_accession no.	RES|Class	RES|Phenotype	RES|PMID	RES|Mechanism of resistance	RES|Notes	RES|Required_gene
CardRes_01701	ARO:3001638	38038	1289	1804	OXA-107	OXA-107	ABV31687.1	EF650033	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-107_1_LAVJ01000082	Beta-lactam	Unknown	17850339	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_01702	ARO:3000995	37375	1953	1805	TEM-131	TEM-131	AAR10958.1	AY436361	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-131_1_AY436361	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	15504851	Enzymatic inactivation	Class A	nan
CardRes_01703	ARO:3001409	37809	5856	1806	OXA-14	OXA-14	AHX74209.1	KJ420612.1	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-14_1_KJ420612	Beta-lactam	"Cefepime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam"	7486940	Enzymatic inactivation	Class D;OXA-10-like;;;	nan
CardRes_01704	ARO:3001618	38018	980	1807	OXA-70	OXA-70	AAW81341.1	AY750912	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-70_1_AY750912	Beta-lactam	Unknown	15760431	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_01705	ARO:3002719	39153	256	1809	QnrB5	QnrB5	ABC17628.1	DQ303919	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection							
CardRes_01706	ARO:3002285	38685	1164	1810	VIM-15	VIM-15	ACB54702.1	EU419745	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	blaVIM-15_1_EU419745	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam"	18519714	Enzymatic inactivation	Subclass B1	nan
CardRes_01707	ARO:3002241	38641	1096	1811	CARB-2	CARB-2	AAZ91704.1	DQ157752	CARB beta-lactamase	penam	antibiotic inactivation							
CardRes_01708	ARO:3000847	37227	1557	1812	KHM-1 beta-lactamase	KHM-1	BAF91108.1	AB364006	KHM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	blaKHM-1_1_AB364006	Beta-lactam	unknown	unpublished	Enzymatic inactivation	metallo beta-lactamase	nan
CardRes_01709	ARO:3002184	38584	1199	1813	MOX-4	MOX-4	ACI89425.1	FJ262599	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation	blaMOX-4_1_FJ262599	Beta-lactam	unknown	20339022	Enzymatic inactivation	nan	nan
CardRes_01710	ARO:3002597	38997	5296	1814	AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ie-APH(2'')-Ia	AAA88548.1	GU565967.1	AAC(6');APH(2'')	aminoglycoside antibiotic	antibiotic inactivation	aac(6')-aph(2'')_1_M13771	Aminoglycoside	"Gentamicin,Tobramycin,Netilmicin,Kanamycin,Amikacin,Dibekacin,Isepamicin,Fortimicin,Streptomycin"	3015884	Enzymatic modification	"Alternative name aac(6')-bifunctional, aac(6')-Ie, aacA-aphD, aac(6')-Ie-aph(2'')-Ia"	nan
