ID	CARD|ARO Accession	CARD|CVTERM ID	CARD|Model Sequence ID	CARD|Model ID	CARD|Model Name	CARD|ARO Name	CARD|Protein Accession	CARD|DNA Accession	CARD|AMR Gene Family	CARD|Drug Class	CARD|Resistance Mechanism	RES|Gene_accession no.	RES|Class	RES|Phenotype	RES|PMID	RES|Mechanism of resistance	RES|Notes	RES|Required_gene
CardRes_00001	ARO:3002999	39433	1188	2	CblA-1	CblA-1	ACT97415.1	GQ343019	CblA beta-lactamase	cephalosporin	antibiotic inactivation							
CardRes_00002	ARO:3001109	37489	1393	4	SHV-52	SHV-52	AEJ08681.1	HQ845196	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-52_1_HQ845196	Beta-lactam	Unknown	Unpublished	Enzymatic inactivation	Class A	nan
CardRes_00003	ARO:3002867	39301	677	5	dfrF	dfrF	AAD01868.1	AF028812	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement							
CardRes_00004	ARO:3001989	38389	1703	7	CTX-M-130	CTX-M-130	AFJ59957.1	JX017365	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-130_1_JX017365	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	Unpublished	Enzymatic inactivation	Class A	nan
CardRes_00005	ARO:3002356	38756	1103	8	NDM-6	NDM-6	AEX08599.1	JN967644	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	blaNDM-6_1_JN967644	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam"	23731823	Enzymatic inactivation	Subclass B1	nan
CardRes_00006	ARO:3001855	38255	1584	9	ACT-35	ACT-35	BAP68758.1	LC004922	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation							
CardRes_00007	ARO:3002244	38644	1661	10	CARB-5	CARB-5	AAF61417.1	AF135373	CARB beta-lactamase	penam	antibiotic inactivation	blaCARB-5_1_AF135373	Beta-lactam	"Ampicillin, Amoxicillin, Piperacillin"	2786828	nan	Class A;Alternative name RTG-2	nan
CardRes_00008	ARO:3000600	36739	162	11	Erm(34)	Erm(34)	AAP74657.1	AY234334	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	erm(34)_1_AY234334	"Macrolide, Lincosamide, Streptogramin B"	"Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S"	14711653	Target modification	"23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, patterns of spiramycin, lincomycin and clindamycin resistance may vary"	nan
CardRes_00009	ARO:3000988	37368	1567	12	TEM-126	TEM-126	AAT45742.1	AY628199	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-126_1_AY628199	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	15282240	Enzymatic inactivation	Class A	nan
CardRes_00010	ARO:3002511	38911	1445	13	LRA-12	LRA-12	ACH58990.1	EU408351	subclass B3 LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation							
CardRes_00011	ARO:3000938	37318	1651	14	TEM-72	TEM-72	AAF19151.1	AF157553	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-72_1_AF157553	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	10952610	Enzymatic inactivation	Class A	nan
CardRes_00012	ARO:3000928	37308	931	15	TEM-59	TEM-59	AAD45935.1	AF062386	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation							
CardRes_00013	ARO:3002320	38720	1633	16	KPC-10	KPC-10	ACS35345.1	GQ140348	KPC beta-lactamase	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	blaKPC-10_1_GQ140348	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	200386180	Enzymatic inactivation	Class A;Group 2f;	nan
CardRes_00014	ARO:3001711	38111	1048	18	OXA-212	OXA-212	AEV91551.1	JN861780	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-212_1_JN861780	Beta-lactam	Unknown	22128805	Enzymatic inactivation	Class D;OXA-211-like;Natural in Acinetobacter johnsonii;;	nan
CardRes_00015	ARO:3002193	38593	1091	19	IMP-2	IMP-2	CAB94707.1	AJ243491	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	blaIMP-2_1_AJ243491	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam"	10770756	Enzymatic inactivation	Subclass B1	nan
CardRes_00016	ARO:3002012	38412	1034	20	CMY-1	CMY-1	CAA63264.1	X92508	CMY beta-lactamase	cephamycin	antibiotic inactivation	blaCMY-1_1_X92508	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	8843306	Enzymatic inactivation	Class C;MOX-1-like;;;	nan
CardRes_00017	ARO:3001517	37917	1212	21	OXA-329	OXA-329	AGW16411.1	KF203103	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-329_1_KF203103	Beta-lactam	Unknown	24288029	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter calcoaceticus;;	nan
CardRes_00018	ARO:3001832	38232	940	22	ACT-10	ACT-10	AEV91214.1	JN848330	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	blaACT-10_1_JN848330	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	unpublished	Enzymatic inactivation	Class C - might give carbapenem resistance or reduced susceptibility in combination with other changes	nan
CardRes_00019	ARO:3001557	37957	1301	23	OXA-371	OXA-371	BAO09635.1	AB871653	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-371_1_AB871653	Beta-lactam	Unknown	Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_00020	ARO:3003552	40155	3451	24	fusB	fusB	AAL12234.1	AY047358	Target protecting FusB-type protein conferring resistance to Fusidic acid	fusidic acid	antibiotic target protection	fusB_1_AY373761	Steroid antibacterial	Fusidic acid	12205055	nan	FusB-family protein	nan
CardRes_00021	ARO:3001980	38380	1085	25	CTX-M-121	CTX-M-121	AFA51699.1	JN790862	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-121_1_JN790862	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	24999233	Enzymatic inactivation	Class A	nan
CardRes_00022	ARO:3002372	38772	1406	26	VEB-3	VEB-3	AAS48620.1	AY536519	VEB beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	blaVEB-3_1_AY536519	Beta-lactam	nan	15695687	Enzymatic inactivation	nan	nan
CardRes_00023	ARO:3002835	39269	5230	27	lnuA	lnuA	AAA26652.1	M14039.1	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	lnu(A)_1_M14039	Lincosamide	Lincomycin	3091456	Enzymatic inactivation	Lincosamide nucleotidyltransferase; Alternative name lin(A)	nan
CardRes_00024	ARO:3001794	38194	1463	28	OXA-45	OXA-45	CAD58780.1	AJ519683	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-45_1_AJ519683	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin"	12936985	Enzymatic inactivation	Class D;;;;	nan
CardRes_00025	ARO:3001800	38200	1927	30	OXA-226	OXA-226	ACM67635.1	FJ617207	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-226_1_FJ617207	Beta-lactam	"Cefepime, Ceftazidime, Piperacillin"	19933793	Enzymatic inactivation	Class D;OXA-2-like;;;	nan
CardRes_00026	ARO:3003163	39740	1666	31	CTX-M-155	CTX-M-155	AIS67611.1	KM211508	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-155_1_KM211508	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	Unpublished	Enzymatic inactivation	Class A	nan
CardRes_00027	ARO:3002146	38546	910	32	DHA-15	DHA-15	AIT76106.1	KM087853	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation	blaDHA-15_1_KM087853	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	Unpublished	Enzymatic inactivation	Class C;DHA-1-like;;;	nan
CardRes_00028	ARO:3003109	39685	5181	33	msrE	msrE	ACB05808.1	EU294228.1	ABC-F ATP-binding cassette ribosomal protection protein	lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic	antibiotic target protection	msr(E)_1_FR751518 	"Macrolide, Streptogramin B"	"Erythromycin, Azithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S"	"21402855, 29712846, 27006457, 27786586"	Target protection	ABC transporter	nan
CardRes_00029	ARO:3002415	38815	1060	34	OXY-6-3	OXY-6-3	CAI43424.1	AJ871876	OXY beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	blaOXY-6-3_3_AJ871876	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	16048960	Enzymatic inactivation	Chromosomal class A beta-lactamase	nan
CardRes_00030	ARO:3002804	39238	341	35	FosA2	FosA2	ACC85616.1	EU487198	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation	fosA2_1_EU487198	Fosfomycin	Fosfomycin	21392044	Enzymatic inactivation	nan	nan
CardRes_00031	ARO:3002649	39049	371	38	APH(3')-Va	APH(3')-Va	AAA26699.1	K00432	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	aph(3')-Va_1_K00432	Aminoglycoside	"Neomycin,Ribostamycin,Paromomycin"	6310563	Enzymatic modification	nan	nan
CardRes_00032	ARO:3002528	38928	3369	39	AAC(3)-Ia	AAC(3)-Ia	AAG15269.1	U12338	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation							
CardRes_00033	ARO:3002771	39205	532	40	QnrB58	QnrB58	AFR46589.1	JX259319	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection							
CardRes_00034	ARO:3003198	39781	3309	41	rmtH	rmtH	AGH19769.1	KC544262	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	rmtH_1_KC544262	Aminoglycoside	"Amikacin, Gentamicin, Tobramycin"	23478957	Target protection	nan	nan
CardRes_00035	ARO:3002413	38813	897	42	OXY-6-1	OXY-6-1	CAI43422.1	AJ871874	OXY beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	blaOXY-6-1_1_AJ871873	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	16048960	Enzymatic inactivation	Chromosomal class A beta-lactamase	nan
CardRes_00036	ARO:3000504	36643	5224	44	golS	golS	AAL19308.1	AE006468.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic	antibiotic efflux							
CardRes_00037	ARO:3003550	40152	4454	45	mdtP	mdtP	BAE78082.1	AP009048.1	major facilitator superfamily (MFS) antibiotic efflux pump	acridine dye;nucleoside antibiotic	antibiotic efflux							
CardRes_00038	ARO:3002125	38525	943	46	CMY-114	CMY-114	AIT76099.1	KM087846	CMY beta-lactamase	cephamycin	antibiotic inactivation	blaCMY-114_1_KM087846	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	Unpublished	Enzymatic inactivation	Class C;CMY-2-like;Natural in Citrobacter freundii;;	nan
CardRes_00039	ARO:3001808	38208	1381	47	OXA-60	OXA-60	AAQ08905.1	AF525303	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-60_1_AF525303|blaOXA-60a_1_AY662675	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem|Unknown"	15504844	Enzymatic inactivation	Class D;OXA-60-like;Natural in Ralstonia pickettii;;	nan
CardRes_00040	ARO:3001650	38050	1306	48	OXA-90	OXA-90	CAJ77809.1	AM231719	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-90_1_EU547443	Beta-lactam	Unknown	19567349	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_00041	ARO:3002380	38780	1396	50	SME-2	SME-2	AAG29813.1	AF275256	SME beta-lactamase	carbapenem	antibiotic inactivation	blaSME-2_1_AF275256	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam"	11036019	Enzymatic inactivation	Chromosomal class A beta-lactamase	nan
CardRes_00042	ARO:3002538	38938	9	51	AAC(3)-IIIc	AAC(3)-IIIc	AAA25683.1	L06161	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aac(3)-IIIc_1_L06161	Aminoglycoside	"Gentamicin,Tobramycin,Dibekacin,Sisomicin"	unpublished	Enzymatic modification	nan	nan
CardRes_00043	ARO:3002397	38797	1220	52	OXY-2-2	OXY-2-2	AAL79541.1	AF473577	OXY beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	blaOXY-2-2_2_AJ871867	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	16048960	Enzymatic inactivation	Chromosomal class A beta-lactamase	nan
CardRes_00044	ARO:3002188	38588	1286	53	MOX-5	MOX-5	ACS44783.1	GQ152600	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation	blaMOX-5_1_GQ152600	Beta-lactam	unknown	unpublished	Enzymatic inactivation	nan	nan
CardRes_00045	ARO:3000904	37284	1160	54	TEM-34	TEM-34	AGE11905.1	KC292503	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-34_1_KC292503	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	"23335113, 8067742"	Enzymatic inactivation	Class A	nan
CardRes_00046	ARO:3001617	38017	5522	55	OXA-69	OXA-69	CAM86994.1	CU459141.1	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-69_1_AY859527	Beta-lactam	"Amoxicillin, Ampicillin"	16189095	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_00047	ARO:3000879	37259	5897	56	TEM-7	TEM-7	AAO33760.1	AF527798.1	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation							
CardRes_00048	ARO:3001082	37462	1637	57	SHV-24	SHV-24	BAA84973.1	AB023477	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-24_1_AB023477	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	10817740	Enzymatic inactivation	Class A	nan
CardRes_00049	ARO:3002762	39196	147	58	QnrB47	QnrB47	AFU25658.1	JX440358	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	qnrB51_1_JX440358	Quinolone	Ciprofloxacin 	25501887	Target protection	nan	nan
CardRes_00050	ARO:3001502	37902	1685	59	OXA-256	OXA-256	CCE94500.1	HE616889	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-256_1_HE616889	Beta-lactam	Unknown	23458448	Enzymatic inactivation	Class D;OXA-10-like;;;	nan
CardRes_00051	ARO:3002795	39229	296	60	QnrS6	QnrS6	AEG74318.1	HQ631376	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	qnrS6_1_HQ631376	Quinolone	Ciprofloxacin	22024339	Target protection	nan	nan
CardRes_00052	ARO:3001518	37918	1377	61	OXA-330	OXA-330	AGW16412.1	KF203104	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-330_1_KF203104	Beta-lactam	Unknown	24288029	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter calcoaceticus;;	nan
CardRes_00053	ARO:3002053	38453	1422	62	CMY-42	CMY-42	ADM21467.1	HM146927	CMY beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation	blaCMY-42_1_HM146927	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	21388298	Enzymatic inactivation	Class C;CMY-2-like;;;	nan
CardRes_00054	ARO:3002546	38946	231	63	AAC(6')-Ib	AAC(6')-Ib	AFJ11384.1	JQ808129	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation							
CardRes_00055	ARO:3002083	38483	1180	64	CMY-70	CMY-70	AFU25635.1	JX440350	CMY beta-lactamase	cephamycin	antibiotic inactivation	blaCMY-70_1_JX440350	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	25501887	Enzymatic inactivation	Class C;CMY-2-like;;;	nan
CardRes_00056	ARO:3002350	38750	1338	65	GES-21	GES-21	AFK80745.1	JQ772478	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaGES-21_1_JQ772478	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Ceftazidime, Piperacillin, Ticarcillin"	unpublished	Enzymatic inactivation	Class A; perhaps some carbapenase activity	nan
CardRes_00057	ARO:3001099	37479	1790	66	SHV-41	SHV-41	AAN04883.1	AF535129	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-41_1_AF535129	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	15047521	Enzymatic inactivation	Class A	nan
CardRes_00058	ARO:3001577	37977	1462	67	OXA-391	OXA-391	AHN53381.1	KJ427797	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-391_1_KJ427797	Beta-lactam	Unknown	Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_00059	ARO:3000996	37376	2031	68	TEM-132	TEM-132	AAR84298.1	AY491682	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-132_1_AY491682	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	15980402	Enzymatic inactivation	Class A	nan
CardRes_00060	ARO:3002620	39020	280	69	aadA23	aadA23	CAH10847.1	AJ809407	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA23_1_AJ809407	Aminoglycoside	"Spectinomycin,Streptomycin"	15761062	Enzymatic modification	nan	nan
CardRes_00061	ARO:3002360	38760	1749	70	NDM-10	NDM-10	AGT37351.1	KF361506	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	blaNDM-10_1_KF361506	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam"	26776144	Enzymatic inactivation	Subclass B1	nan
CardRes_00062	ARO:3002778	39212	157	71	QnrB66	QnrB66	AGL43627.1	KC580655	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	qnrB66_1_KC580655	Quinolone	Ciprofloxacin 	24247140	Target protection	nan	nan
CardRes_00063	ARO:3001100	37480	1874	72	SHV-42	SHV-42	AAN04884.1	AF535130	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-42_1_AF535130	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	15047521	Enzymatic inactivation	Class A	nan
CardRes_00064	ARO:3001429	37829	975	73	OXA-35	OXA-35	AAK49460.1	AF315786	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-35_1_AF315786	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Piperacillin"	11679562	Enzymatic inactivation	Class D;OXA-10-like;;;	nan
CardRes_00065	ARO:3001076	37456	1636	74	SHV-18	SHV-18	AAF64386.1	AF132290	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-18_1_AF132290	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	10952583	Enzymatic inactivation	Class A	nan
CardRes_00066	ARO:3003026	39460	201	75	fusH	fusH	CAA90432.1	Z50108	fusidic acid inactivation enzyme	fusidic acid	antibiotic inactivation							
CardRes_00067	ARO:3001133	37513	921	76	SHV-79	SHV-79	CAJ47134.2	AM176554	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-79_1_AM176554	Beta-lactam	"Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin"	19272757	Enzymatic inactivation	Class A	nan
CardRes_00068	ARO:3000916	37296	1573	77	TEM-47	TEM-47	CAA71322.1	Y10279	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-47_1_Y10279	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	9517925	Enzymatic inactivation	Class A	nan
CardRes_00069	ARO:3000887	37267	1722	78	TEM-16	TEM-16	CAA46346.1	X65254	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-16_1_X65254	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	1416873	Enzymatic inactivation	Class A	nan
CardRes_00070	ARO:3002307	38707	1655	79	VIM-37	VIM-37	AGC50807.1	JX982636	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	blaVIM-37_1_JX982636 	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam"	24603963	Enzymatic inactivation	Subclass B1	nan
CardRes_00071	ARO:3001849	38249	1095	80	ACT-29	ACT-29	AIT76085.1	KM087832	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation							
CardRes_00072	ARO:3002157	38557	1109	81	FOX-3	FOX-3	CAA71947.1	Y11068	FOX beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation	blaFOX-3_1_Y11068	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	9527810	Enzymatic inactivation	Class C	nan
CardRes_00073	ARO:3002366	38766	1061	82	PER-4	PER-4	ACE77058.1	EU748544	PER beta-lactamase	carbapenem;cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaPER-4_1_EU748544	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Cefepime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid, Aztreonam"	unpublished	Enzymatic inactivation	nan	nan
CardRes_00074	ARO:3000845	37225	952	84	GIM-1	GIM-1	CAF05908.1	AJ620678	GIM beta-lactamase	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem	antibiotic inactivation	blaGIM-1_1_JF414726	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam"	22247491	Enzymatic inactivation	metallo beta-lactamase	nan
